Day 4 15-164-17'CL, 2 PHENYL 5 OX-A-ZOL-ONE
MOR44'CL, MOR-PHINE
FF61-2-E2'CL, P AZOPHENY-LAR-SON-ATE
t'CL, 2 PHENY-LOX-A-ZOL 5 ONE
FF29-12-1'CL, P AZOPHENY-LAR-SON-ATE
hVH65-211'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=1.0X10-EX-P6
Q'CL, 2 PHENY-LOX-A-ZOL 5 ONE
VTNP'CL, 2 4 6 TRINI-TRO-PHENYL HY-BRIDO-MA
36-65 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=2.5X10-EX-P5
44.1'CL, P AZOPHENY-LAR-SON-ATE KEY-HOLE LIMPET HEMO-CYANIN
mAb D'CL, HALOPERI-DOL.
S'CL, 2 PHENY-LOX-A-ZOL 5 ONE
mAb C''CL, HALOPERI-DOL.
12S18-1'CL, AR-SON-ATE AN-TI-BODY HY-BRIDO-MA
3F29-8-5'CL, P AZOPHENY-LAR-SON-ATE
AZ-28'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
NC10.14'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
aly41-27'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
17C1'CL, AL-PRENOLOL HY-BRIDO-MA
S35776'CL, TESTOS-TER-ONE
419.1'CL, P AZOPHENY-LAR-SON-ATE KEY-HOLE LIMPET HEMO-CYANIN
FF29-12-6'CL, P AZOPHENY-LAR-SON-ATE
U'CL, 2 PHENY-LOX-A-ZOL 5 ONE
v'CL, 2 PHENYL0X-A-ZOL 5 ONE
ANTI-TMA, P AZOBEN-ZEN-ETRIMETHY-LAM-MO-NI-UM
TE1'CL, TRI-CHOSAN-THIN  AN AC-TIVE COM-P-O-NENT OF A TRA-DI-TION-AL CHI-NESE MEDIC-INE USED FOR IN-DUC-ING ABOR-TION
45-49'CL, P AZOPHENY-LAR-SON-ATE
CNJ2'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
MOR8'CL, MOR-PHINE
FF29-15-5'CL, P AZOPHENY-LAR-SON-ATE
G2a'CL, TRINI-TRO-PHENYL
PHOX15'CL, 2 PHENY-LOX-A-ZOL 5 ONE
36-71 CRI+, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=4.5X10-EX-P7
3F29-5-34'CL, P AZOPHENY-LAR-SON-ATE
ANTI-ARS, P AZOPHENY-LAR-SON-ATE
MVAR1'CL, 2 PHENY-LOX-A-ZOL 5 ONE
11C7'CL, MOR-PHINE
P65I4-2'CL, P AZOPHENY-LAR-SON-ATE  KA=3.7 TO 7.1X10-EX-P4
AZ-34'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
SE20.2'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
CB6'CL, TRINI-TRO-PHENYL HY-BRIDO-MA
ABA2'-7'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=8.8X10-EX-P6
CB1'CL, TRINI-TRO-PHENYL HY-BRIDO-MA
D2.5'CL, NI-TROBEN-ZYL PHOS-PHO-NATE  TRAN-SI-TION STATE ANA-LOG
1E9'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA
CNJ123'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
D7'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
mAb C'CL, HALOPERI-DOL.
EA7'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
FF29-36-2'CL, P AZOPHENY-LAR-SON-ATE
mAb B''CL, HALOPERI-DOL.
a'CL, 2 PHENY-LOX-A-ZOL 5 ONE
AZ-40'CL, CAT-ALYT-IC OXY COPE AN-TI-BODY SPE-CIF-IC FOR A COM-MON TRAN-SI-TION STATE ANA-LOG HAP-TEN
CNJ174'CL, P NI-TRO-PHENYL PHOS-PHO-NATE
mAb402-10'CL, MOR-PHINE 6 HEMISUC-CI-NATE BSA
3F29-8-3'CL, P AZOPHENY-LAR-SON-ATE
24''CL, P AZOPHENY-LAR-SON-ATE KEY-HOLE LIMPET HEMO-CYANIN
FF29-39-1'CL, P AZOPHENY-LAR-SON-ATE
JD21'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
c'CL, 2 PHENY-LOX-A-ZOL 5 ONE
88C6/12'CL, 4 HY-DROXY 3NI-TRO-PHENYL ACETIC ACID
TE2'CL, TRI-CHOSAN-THIN  AN AC-TIVE COM-P-O-NENT OF A TRA-DI-TION-AL CHI-NESE MEDIC-INE USED FOR IN-DUC-ING ABOR-TION
Id3'CL, TRINI-TRO-PHENYL
SP6'CL, 2 4 6 TRINI-TRO-PHENYL
2C3A'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T<2X10-EX-P4
AKR1'CL, P AZOPHENY-LAR-SON-ATE
2A81G5'CL, CD II  BSA THIOUREI-DO L BEN-ZYL ED-TA  BIND-ING CON-STAN-T=1.4X10-EX-P10
NC10.12'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
3F29-4-14'CL, P AZOPHENY-LAR-SON-ATE
4C8 (TE4)'CL, TRI-CHOSAN-THIN  AN AC-TIVE COM-P-O-NENT OF A TRA-DI-TION-AL CHI-NESE MEDIC-INE USED FOR IN-DUC-ING ABOR-TION
e'CL, 2 PHENY-LOX-A-ZOL 5 ONE
4F8'CL, P AZOPHENY-LAR-SON-ATE
FF29-36-13'CL, P AZOPHENY-LAR-SON-ATE
B'CL, 2 PHENY-LOX-A-ZOL 5 ONE
g'CL, 2 PHENY-LOX-A-ZOL 5 ONE
14C3'CL, AL-PRENOLOL HY-BRIDO-MA
6B5 Fab, 5 [N  1 PHENYL-CY-CLO-HEXYL AMINO]PEN-TANOIC ACID  PCHAP
anti-Est'CL, 17 BE-TA ESTRA-DI-OL  BIND-ING CON-STANT = 1.01 X 10-EX-P8
D'CL, 2 PHENY-LOX-A-ZOL 5 ONE
1G4 (TE3)'CL, TRI-CHOSAN-THIN  AN AC-TIVE COM-P-O-NENT OF A TRA-DI-TION-AL CHI-NESE MEDIC-INE USED FOR IN-DUC-ING ABOR-TION
i'CL, 2 PHENY-LOX-A-ZOL 5 ONE
PERU2'CL, P AZOPHENY-LAR-SON-ATE
hVH65-110'CL, P AZOPHENY-LAR-SON-ATE HY-BRIDO-MA BIND-ING CON-STAN-T=1X10-EX-P4
P65D6-3'CL, P AZOPHENY-LAR-SON-ATE  KA=1.7X10-EX-P5
4H10'CL, TRINI-TRO-PHENYL HY-BRIDO-MA
3F29-4-19'CL, P AZOPHENY-LAR-SON-ATE
6B5, PCHAP  5 [N  1 PHENYL-CY-CLO-HEXYL AMINO]PEN-TANOIC ACID
F'CL, 2 PHENY-LOX-A-ZOL 5 ONE
k'CL, 2 PHENY-LOX-A-ZOL 5 ONE
12S28-16'CL, AR-SON-ATE AN-TI-BODY HY-BRIDO-MA
VH-OX1'CL, PHOX
AJ1'CL, P AZOPHENY-LAR-SON-ATE
91A3, AR-SON-ATE
FF57-9-9'CL, P AZOPHENY-LAR-SON-ATE
H'CL, 2 PHENY-LOX-A-ZOL 5 ONE
FF61-2-E1'CL, P AZOPHENY-LAR-SON-ATE
NC10.11'CL,  N  P CYANOPHENYL  N   DIPHENYL-METHYL GUANI-D-INE ACETIC ACID COU-PLED TO BSA
m'CL, 2 PHENY-LOX-A-ZOL 5 ONE
R21.10'CL, P AZOBEN-ZE-N-EAR-SON-ATE HY-BRIDO-MA
mAb B'CL, HALOPERI-DOL
J'CL, 2 PHENY-LOX-A-ZOL 5 ONE
44SNQP26, 2 PHENY-LOX-A-ZOL-ONE
