Day 4 15-164-17'CL, 2 PHENYL 5 OX-A-ZOL-ONE
48SNQP10, 2 PHENY-LOX-A-ZOL-ONE
TEPC952, EP-SILON DNP AMINOCAPROATE BIND-ING CON-STAN-T=6.3X10-EX-P6
Lb 24-H'CL, DNP
NQ2 45.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
280.21'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Nb 01-H'CL, DNP
NQ2 16.2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
E18'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
168'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
2C7'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ2 45.10.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
7B10'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
7C53'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
2-115-19'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
Lb 29-H'CL, DNP
Ma_40-H'CL, DINI-TRO-PHENYL
NOV, POLY AL-PHA 2 8  LINKED N ACETYL-NEU-RAMINIC ACID  POLY A   AND POLY I
Ma_63-H'CL, DINI-TRO-PHENYL
F10.17-8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
KSd1C10'CL, FLU-O-RES-CEIN
44SNQP17, 2 PHENY-LOX-A-ZOL-ONE
NQT17/29B'CL, 2 PHENY-LOX-A-ZOL-ONE
8C42'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ga_15-H'CL, DINI-TRO-PHENYL
48SNQP28, 2 PHENY-LOX-A-ZOL-ONE
H1-31'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
NQ2/16.2'CL, 2 PHENYL OX-A-ZOL-ONE
B12-7'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
P3.6.5'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
NQT15/23B'CL, 2 PHENY-LOX-A-ZOL-ONE
127'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
NQT17/45E'CL, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.7.2'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
AN08'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=7.3X10-EX-P7
MEMORY 13, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
20.1.43'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
Lb 83-H'CL, DNP
M03/01/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
Day 4 15-164-15'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NQ10.2.12.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
H1-8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
CH1D6'CL, FLU-O-RES-CEIN
DBF1-608.1'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
6-2, DINI-TRO-PHENYL HY-BRIDO-MA EP-SILON DNP AMINOCAPROATE BIND-ING CON-STAN-T=3.5X10-EX-P6
MMW.7.4'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
La 15-H'CL, DNP
167.2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
17.2.25'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
C488-21G'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
IgG2a-2'CL, DINI-TRO-PHENYL
NQ11 8.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ7 3.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MMW.8.2'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Da_12-H'CL, DINI-TRO-PHENYL
M02/09/01, MUSK ODOR-ANT TRASE-OLIDE  6 ACETYL 1 ISO-PROPYL 2 3 3 5 TETRAM-ETHYL IN-DANE
MMW.4.9'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
5A4'CL, COR-TI-SOL
16C3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
18C10'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
48SNQP110, 2 PHENY-LOX-A-ZOL-ONE
NQT17/10'CL, 2 PHENY-LOX-A-ZOL-ONE
NQ2 20.5.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
5G2'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
8/7p17'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
H1-90'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Fc_05-H'CL, DINI-TRO-PHENYL
43SNQP4, 2 PHENY-LOX-A-ZOL-ONE
d9/15'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
H1-59'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
122'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
Ib_17-H'CL, DINI-TRO-PHENYL
48SNQP6, 2 PHENY-LOX-A-ZOL-ONE
44SNQP8, 2 PHENY-LOX-A-ZOL-ONE
48SNQP23, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.7.15'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
F8,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Lb 12-H'CL, DNP
NQ10.15.3'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ6 8.3.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MMW.4.15'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
44SNQP25, 2 PHENY-LOX-A-ZOL-ONE
NQ2 48.2.2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
48SNQP121, 2 PHENY-LOX-A-ZOL-ONE
8/7p9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Lb 17-H'CL, DNP
Jb_08-H'CL, DINI-TRO-PHENYL
48SNQP132, 2 PHENY-LOX-A-ZOL-ONE
NQT15/17A'CL, 2 PHENY-LOX-A-ZOL-ONE
GG8.3'CL, 2 PHENY-LOX-A-ZOL-ONE
Jb_21-H'CL, DINI-TRO-PHENYL
Lb 30-H'CL, DNP
47SNQP19, 2 PHENY-LOX-A-ZOL-ONE
H1-5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
F10.12-6'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ma_33-H'CL, DINI-TRO-PHENYL
40SNQP27, 2 PHENY-LOX-A-ZOL-ONE
NQ5 89.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
119-a1'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
28'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Lb 35-H'CL, DNP
Jb_49-H'CL, DINI-TRO-PHENYL
d9/5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.7.14'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
3F9H4'CL, FLU-O-RES-CEIN
H1-24'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Mb_12-H'CL, DINI-TRO-PHENYL
MEMORY 5, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
Nb 17-H'CL, DNP
NQT15/18B'CL, 2 PHENY-LOX-A-ZOL-ONE
F10.12-1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Bg53-17'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
2B1-48'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
22.11'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
47SNQP32, 2 PHENY-LOX-A-ZOL-ONE
2A1-62'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
7C6'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
44SNQP20, 2 PHENY-LOX-A-ZOL-ONE
119.12'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
A6/24'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
119.13'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
Bg53-4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL  KA=1.3X10-EX-P7
48SNQP104, 2 PHENY-LOX-A-ZOL-ONE
La 21-H'CL, DNP
1-187-29'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
9C6E10'CL, FLU-O-RES-CEIN
p5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
3C5'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Mb_35-H'CL, DINI-TRO-PHENYL
47SNQP14, 2 PHENY-LOX-A-ZOL-ONE
7C38'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
H1-60'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
7F11'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
MMW.7.3'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Day 4 15-164-1'CL, 2 PHENYL 5 OX-A-ZOL-ONE
H1-29'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Mb_17-H'CL, DINI-TRO-PHENYL
HVP2H4'CL, FLU-O-RES-CEIN
MMW.8.12'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
5-27'CL, FLU-O-RES-CEIN  KA=5.3X10-EX-P8
Ia_26-H'CL, DINI-TRO-PHENYL
103-A14'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Nb 58-H'CL, DNP
MMW.4.8'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQ6 24.2.2'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
NQ19.16.37'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Mb_58-H'CL, DINI-TRO-PHENYL
La 49-H'CL, DNP
S2E9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
1F5A9'CL, FLU-O-RES-CEIN
IgG2a-1'CL, DINI-TRO-PHENYL
48SNQP18, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.6.10'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MMW.8.1'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Fc_11-H'CL, DINI-TRO-PHENYL
NQN1/A14.4.3'CL, 2 PHENYL OX-A-ZOL-ONE
F10.12-10'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Jb_19-H'CL, DINI-TRO-PHENYL
Nb 05-H'CL, DNP
Fc_16-H'CL, DINI-TRO-PHENYL
47SNQP1, 2 PHENY-LOX-A-ZOL-ONE
DF4-12.6'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
185C'CL, FLU-O-RES-CEIN
d9/2'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Jb_32-H'CL, DINI-TRO-PHENYL
DB1-314.3'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
B17-6'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
48SNQP5, 2 PHENY-LOX-A-ZOL-ONE
119-30'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
40SNQP9, 2 PHENY-LOX-A-ZOL-ONE
103-51'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
44SNQP33, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.6.15'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
9G6'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MEMORY 10, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
C488-30B'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
Lb 23-H'CL, DNP
XRPC25, DINI-TRO-PHENYL
3-13''CL, FLU-O-RES-CEIN  KA=5.0X10-EX-P4
Jb_37-H'CL, DINI-TRO-PHENYL
NQT17/30E'CL, 2 PHENY-LOX-A-ZOL-ONE
Day 4 15-164-11'CL, 2 PHENYL 5 OX-A-ZOL-ONE
B17-1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
3D61'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
Ma_49-H'CL, DINI-TRO-PHENYL
H1-12'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Lb 82-H'CL, DNP
3A183'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
NQT15/4B'CL, 2 PHENY-LOX-A-ZOL-ONE
47SNQP40, 2 PHENY-LOX-A-ZOL-ONE
3B5'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
8C24'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ma_62-H'CL, DINI-TRO-PHENYL
AB1/2'CL, ACETYL-CHOLINE RE-CEP-TOR
NQT17/40B'CL, 2 PHENY-LOX-A-ZOL-ONE
Ia_32-H'CL, DINI-TRO-PHENYL
128'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
NQ10.12.22'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
C32'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
12.3B7'CL, FLU-O-RES-CEIN
C488-23C'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
NQT15/25A'CL, 2 PHENY-LOX-A-ZOL-ONE
DBF1-235.4'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
H1-30'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
+16-23'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
+26-108'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQT15/17'CL, 2 PHENY-LOX-A-ZOL-ONE.
NQ22.61.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
40SNQP30, 2 PHENY-LOX-A-ZOL-ONE
11G11'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
44SNQP10, 2 PHENY-LOX-A-ZOL-ONE
mAb198'CL, MAIN IM-MUNO-GENIC RE-GION OF HU-MAN ACETYL-CHOLINE RE-CEP-TOR
47SNQP27, 2 PHENY-LOX-A-ZOL-ONE
La 32-H'CL, DNP
Fc_04-H'CL, DINI-TRO-PHENYL
p3'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.2.7.12'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
AB3'CL, ACETYL-CHOLINE RE-CEP-TOR
4F10'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MMW.8.9'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
d9/14'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
8C68'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
F10.12-9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
P5.40.1'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
167.1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
AN02'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=7.5X10-EX-P6
123'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
40SNQP12, 2 PHENY-LOX-A-ZOL-ONE
Jc_39-H'CL, DINI-TRO-PHENYL
13D4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Da_11-H'CL, DINI-TRO-PHENYL
2A1-17'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
95G5'CL, FLU-O-RES-CEIN
F10.17-1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
1AB1'CL, FLU-O-RES-CEIN
MMW.2.7.4'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MEMORY 15, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
103-54'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
NQ11.8.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
103-A13'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Ca_20-H'CL, DINI-TRO-PHENYL
NQ10.2.12.8'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
6D6'CL, COR-TI-SOL
C488-24F'CL,  4 HY-DROXY 3 NI-TRO PHENYL  ACETYL COU-PLED TO CHICK-EN GAM-MA GLOB-U-LIN
Na 55-H'CL, DNP
Jb_20-H'CL, DINI-TRO-PHENYL
1G7'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Bg53-27'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL  KA=1.8X10-EX-P7
NQ10.11.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Jb_43-H'CL, DINI-TRO-PHENYL
40SNQP8, 2 PHENY-LOX-A-ZOL-ONE
NQT15/9A'CL, 2 PHENY-LOX-A-ZOL-ONE
+9-22'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
3A112'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
aly54-31'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Lb 34-H'CL, DNP
NQ11.7.22'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
F4,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
47SNQP9, 2 PHENY-LOX-A-ZOL-ONE
MMW.4.18'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
14B4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
9d7d6'CL, FLU-O-RES-CEIN
MMW.2.7.17'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
18G8'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
48SNQP21, 2 PHENY-LOX-A-ZOL-ONE
MMW.4.7'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Ga_07-H'CL, DINI-TRO-PHENYL
F10.12-4'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Nb 16-H'CL, DNP
H1-9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
+10-16'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
aly44-73'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
3.1'CL, FLU-O-RES-CEIN
AN09'CL, SPIN LA-BELED DINI-TRO-PHENYL  STA-BIL-I-TY CON-STAN-T=1.6X10-EX-P7
Day 2 15-167-3'CL, 2 PHENYL 5 OX-A-ZOL-ONE
NQ7.47.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
MMW.8.15'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQ7 24.6'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
La 02-H'CL, DNP
DB1-310.9'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
Mb_16-H'CL, DINI-TRO-PHENYL
MMW.4.13'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
MMW.7.12'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Jc_09-H'CL, DINI-TRO-PHENYL
131'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
48SNQP123, 2 PHENY-LOX-A-ZOL-ONE
CHATE1'CL, FLU-O-RES-CEIN
Jb_48-H'CL, DINI-TRO-PHENYL
MMW.2.7.9'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
E3,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Na 73-H'CL, DNP
NQ16.113.8'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
P9.37.1'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
MEMORY 8, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
47SNQP17, 2 PHENY-LOX-A-ZOL-ONE
6F8'CL, PHENY-LOX-A-ZOL-ONE HY-BRIDO-MA
NQT17/53B'CL, 2 PHENY-LOX-A-ZOL-ONE
8/7p8'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
280.15'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQ22.91.1'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Ib_04-H'CL, DINI-TRO-PHENYL
Nb 39-H'CL, DNP
13.5A2'CL, FLU-O-RES-CEIN
Ca_13-H'CL, DINI-TRO-PHENYL
NQT17/30B'CL, 2 PHENY-LOX-A-ZOL-ONE
T13.131.23'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
43SNQP19, 2 PHENY-LOX-A-ZOL-ONE
Fc_10-H'CL, DINI-TRO-PHENYL
93C1'CL, FLU-O-RES-CEIN
B2,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MEMORY 3, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL
d9/9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
Ca_18-H'CL, DINI-TRO-PHENYL
NQT15/17C'CL, 2 PHENY-LOX-A-ZOL-ONE
H12'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
La 20-H'CL, DNP
P4.6.1'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
Jc_45-H'CL, DINI-TRO-PHENYL
Da_04-H'CL, DINI-TRO-PHENYL
MMW.2.6.12'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
NQT15/3B'CL, 2 PHENY-LOX-A-ZOL-ONE
MMW.8.10'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
280.17'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.8.8'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
AB3'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
B12-10'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
19E11'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
3-24'CL, FLU-O-RES-CEIN  KA=2.8X10-EX-P6
NQ22.16.4'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Ma_20-H'CL, DINI-TRO-PHENYL
Fa_09-H'CL, DINI-TRO-PHENYL
Jb_13-H'CL, DINI-TRO-PHENYL
Lb 22-H'CL, DNP
A1,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
281.10'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
48SNQP117, 2 PHENY-LOX-A-ZOL-ONE
NQT17/29A'CL, 2 PHENY-LOX-A-ZOL-ONE
48SNQP128, 2 PHENY-LOX-A-ZOL-ONE
47SNQP8, 2 PHENY-LOX-A-ZOL-ONE
MMW.2.6.17'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Lb 04-H'CL, DNP
+23-17'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
MMW.4.6'CL,  4 HY-DROXY 3 NI-TRO-PHE-NY ACETYL
Na 20-H'CL, DNP
Jc_68-H'CL, DINI-TRO-PHENYL
Bg112-9'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
E3-19'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL CON-JU-GAT-ED CHICK-EN GAM-MA GLOB-U-LIN
Day 4 15-164-2'CL, 2 PHENYL 5 OX-A-ZOL-ONE
Na 89-H'CL, DNP
B17-5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
H1-16'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL HY-BRIDO-MA
Bg46-5'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
DF4-29.4'CL, 5 DIMETHY-LAMINON-APH-THA-LENE 1 SUL-FONYL HY-BRIDO-MA
Ga_13-H'CL, DINI-TRO-PHENYL
NQ19.22.21'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
Nb 09-H'CL, DNP
40SNQP7, 2 PHENY-LOX-A-ZOL-ONE
14C7'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
165'CL,  4 HY-DROXY 3 NI-TRO-PHENYL  ACETYL
NQ10 2.2.5'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
3C13'CL, 4 HY-DROXY 3 NI-TRO-PHENY-LACETYL HY-BRIDO-MA
8C40'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
NQT15/5'CL, 2 PHENY-LOX-A-ZOL-ONE.
NQ11.1.18'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
281.12'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
T13.204.83'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL
P10.15.1' 'CL, 4  HY-DROXY 3 NI-TRO-PHENYL ACETYL ID-IO-TYP-IC AN-TI-BOD-IES
44SNQP31, 2 PHENY-LOX-A-ZOL-ONE
Lb 81-H'CL, DNP
MOPC460, DINI-TRO-PHENYL
NQ10.1.12'CL, 2 PHENYL OX-A-ZOL-ONE HY-BRIDO-MA
119-a45'CL, HAP-TEN 2 PHENYL 5 OX-A-ZOL-ONE
Day 4 15-164-12'CL, 2 PHENYL 5 OX-A-ZOL-ONE
AB1/2'CL, NICO-TINIC ACETYL-CHOLINE RE-CEP-TOR
119.1'CL,  4 HY-DROXY 3 NI-TRO-PHENYL ACETYL FI-COLL HY-BRIDO-MA
